"customerid","recency_days","frequency","monetary","r_score","f_score","m_score","customer_segment"
"13675",151,"2","486.82",2,3,2,"At Risk"
"13678",151,"1","232.60",2,1,1,"Lost Customers"
"13679",735,"1","126.80",1,2,1,"Lost Customers"
"13680",1,"8","7641.49",5,5,5,"Champions"
"13681",17,"4","827.83",4,4,3,"Loyal Customers"
"13682",187,"1","59.50",2,2,1,"Lost Customers"
"13684",285,"2","197.96",1,2,1,"Lost Customers"
"13685",2,"7","3119.44",5,5,5,"Champions"
"13686",182,"2","183.60",2,2,1,"Lost Customers"
"13689",63,"1","910.00",3,2,3,"Promising"
"13690",59,"1","172.25",3,1,1,"Promising"
"13692",24,"3","1488.32",4,4,4,"Champions"
"13693",374,"6","1423.75",1,4,4,"At Risk"
"13694",3,"71","102369.57",5,5,5,"Champions"
"13695",31,"15","2504.13",4,5,5,"Champions"
"13697",38,"1","151.30",4,2,1,"New Customers"
"13699",155,"1","308.58",2,2,2,"Lost Customers"
"13700",26,"10","2248.63",4,5,5,"Champions"
"13703",318,"1","99.50",1,1,1,"Lost Customers"
"13704",5,"9","2308.06",5,5,5,"Champions"
"13705",7,"3","711.86",5,3,3,"Loyal Customers"
"13706",302,"1","330.79",1,2,2,"Lost Customers"
"13707",267,"2","806.41",1,2,3,"Lost Customers"
"13708",271,"1","285.33",1,2,2,"Lost Customers"
"13709",3,"14","6614.39",5,5,5,"Champions"
"13710",31,"1","180.48",4,1,1,"New Customers"
"13711",218,"5","1136.96",2,4,4,"At Risk"
"13712",246,"1","228.84",2,1,1,"Lost Customers"
"13715",281,"5","1077.39",1,4,4,"At Risk"
"13716",269,"1","138.28",1,2,1,"Lost Customers"
"13717",32,"6","1445.01",4,4,4,"Champions"
"13718",246,"2","306.55",2,3,2,"At Risk"
"13719",15,"5","1041.68",5,4,4,"Champions"
"13720",116,"4","799.90",2,4,3,"At Risk"
"13721",36,"1","524.14",4,1,3,"New Customers"
"13722",131,"3","2375.41",2,4,5,"At Risk"
"13723",217,"2","362.67",2,3,2,"At Risk"
"13725",49,"8","1980.56",3,5,4,"Loyal Customers"
"13726",38,"2","1079.66",4,2,4,"New Customers"
"13727",28,"4","557.13",4,4,3,"Loyal Customers"
"13728",36,"9","1548.69",4,5,4,"Champions"
"13730",135,"2","752.60",2,2,3,"Lost Customers"
"13731",219,"2","610.59",2,3,3,"At Risk"
"13732",28,"1","491.86",4,1,2,"New Customers"
"13733",735,"1","149.10",1,2,1,"Lost Customers"
"13735",24,"6","4014.62",4,5,5,"Champions"
"13736",5,"3","1440.64",5,4,4,"Champions"
"13737",200,"1","339.60",2,2,2,"Lost Customers"
"13739",18,"1","216.90",4,1,1,"New Customers"
"13740",240,"2","647.44",2,3,3,"At Risk"
"13741",71,"3","668.43",3,3,3,"Loyal Customers"
"13742",16,"12","3107.87",4,5,5,"Champions"
"13743",2,"7","1341.60",5,5,4,"Champions"
"13744",95,"2","1080.52",2,2,4,"Lost Customers"
"13745",162,"1","300.04",2,2,2,"Lost Customers"
"13747",373,"1","79.60",1,1,1,"Lost Customers"
"13748",95,"7","1287.55",2,5,4,"At Risk"
"13750",53,"6","1972.70",3,4,4,"Loyal Customers"
"13751",288,"1","296.25",1,2,2,"Lost Customers"
"13752",124,"6","1175.38",2,4,4,"At Risk"
"13753",287,"2","1383.46",1,3,4,"At Risk"
"13754",151,"2","282.60",2,2,2,"Lost Customers"
"13755",3,"9","2108.06",5,5,4,"Champions"
"13756",2,"16","6422.53",5,5,5,"Champions"
"13758",11,"11","6100.30",5,5,5,"Champions"
"13759",33,"2","659.41",4,3,3,"Loyal Customers"
"13760",54,"2","286.79",3,2,2,"Promising"
"13761",50,"2","1070.65",3,2,4,"Promising"
"13762",218,"2","754.08",2,2,3,"Lost Customers"
"13763",63,"1","1714.96",3,1,4,"Promising"
"13764",70,"3","1519.42",3,4,4,"Loyal Customers"
"13767",2,"48","23330.56",5,5,5,"Champions"
"13768",726,"2","875.97",1,2,3,"Lost Customers"
"13769",2,"11","3010.76",5,5,5,"Champions"
"13770",730,"1","174.33",1,1,1,"Lost Customers"
"13771",64,"4","2634.45",3,4,5,"Loyal Customers"
"13772",33,"3","1122.63",4,3,4,"Loyal Customers"
"13774",81,"1","345.00",3,2,2,"Promising"
"13777",0,"39","33689.72",5,5,5,"Champions"
"13778",103,"1","178.70",2,1,1,"Lost Customers"
"13780",7,"2","360.01",5,3,2,"Loyal Customers"
"13781",250,"2","442.28",1,3,2,"At Risk"
"13782",12,"8","1175.99",5,5,4,"Champions"
"13784",9,"11","2462.79",5,5,5,"Champions"
"13786",367,"3","1598.39",1,4,4,"At Risk"
"13787",75,"3","473.38",3,3,2,"Loyal Customers"
"13789",388,"1","239.46",1,1,1,"Lost Customers"
"13790",4,"1","348.80",5,2,2,"New Customers"
"13791",127,"2","1516.00",2,3,4,"At Risk"
"13792",66,"2","195.55",3,2,1,"Promising"
"13795",388,"1","214.35",1,1,1,"Lost Customers"
"13798",1,"67","43424.49",5,5,5,"Champions"
"13799",116,"2","688.86",2,3,3,"At Risk"
"13800",309,"2","1037.02",1,2,4,"Lost Customers"
"13801",66,"1","324.80",3,2,2,"Promising"
"13802",138,"4","6895.34",2,4,5,"At Risk"
"13803",255,"1","277.07",1,2,2,"Lost Customers"
"13804",30,"7","2588.39",4,5,5,"Champions"
"13805",52,"2","924.60",3,2,3,"Promising"
"13806",63,"1","256.38",3,2,2,"Promising"
"13807",367,"2","220.55",1,2,1,"Lost Customers"
"13808",5,"5","1747.66",5,4,4,"Champions"
"13809",305,"1","155.05",1,1,1,"Lost Customers"
"13810",28,"3","1499.01",4,4,4,"Champions"
"13811",183,"3","814.50",2,3,3,"At Risk"
"13812",42,"3","539.00",3,3,3,"Loyal Customers"
"13813",39,"5","1650.01",4,4,4,"Champions"
"13814",92,"2","1579.12",2,3,4,"At Risk"
"13815",22,"4","4027.36",4,4,5,"Champions"
"13816",23,"2","571.67",4,3,3,"Loyal Customers"
"13817",29,"2","382.98",4,3,2,"Loyal Customers"
"13819",301,"5","2222.75",1,4,5,"At Risk"
"13821",144,"5","1046.19",2,4,4,"At Risk"
"13822",5,"2","632.00",5,3,3,"Loyal Customers"
"13823",18,"4","1865.08",4,4,4,"Champions"
"13824",32,"6","1820.04",4,4,4,"Champions"
"13825",730,"1","143.36",1,2,1,"Lost Customers"
"13826",176,"1","189.50",2,1,1,"Lost Customers"
"13827",57,"3","409.80",3,3,2,"Loyal Customers"
"13828",22,"1","209.49",4,1,1,"New Customers"
"13831",16,"10","3857.91",4,5,5,"Champions"
"13832",19,"1","52.20",4,2,1,"New Customers"
"13833",159,"1","383.85",2,2,2,"Lost Customers"
"13835",25,"4","834.57",4,4,3,"Loyal Customers"
"13837",211,"2","266.59",2,2,2,"Lost Customers"
"13838",5,"4","674.82",5,4,3,"Loyal Customers"
"13841",252,"1","85.00",1,1,1,"Lost Customers"
"13842",58,"9","3385.62",3,5,5,"Loyal Customers"
"13843",381,"1","319.75",1,2,2,"Lost Customers"
"13844",11,"1","361.62",5,2,2,"New Customers"
"13845",64,"1","312.98",3,2,2,"Promising"
"13846",24,"3","865.06",4,3,3,"Loyal Customers"
"13847",719,"1","310.72",1,2,2,"Lost Customers"
"13848",92,"4","1735.00",2,4,4,"At Risk"
"13849",51,"2","1537.95",3,3,4,"Loyal Customers"
"13850",129,"1","1595.48",2,1,4,"Lost Customers"
"13851",95,"4","3387.36",2,4,5,"At Risk"
"13853",57,"1","1090.14",3,1,4,"Promising"
"13854",8,"28","8804.42",5,5,5,"Champions"
"13855",721,"2","809.10",1,2,3,"Lost Customers"
"13856",168,"3","388.50",2,3,2,"At Risk"
"13858",57,"1","216.17",3,1,1,"Promising"
"13859",326,"1","201.16",1,1,1,"Lost Customers"
"13860",1,"5","1245.90",5,4,4,"Champions"
"13862",18,"9","2556.09",4,5,5,"Champions"
"13863",247,"1","305.78",2,2,2,"Lost Customers"
"13864",386,"1","662.40",1,1,3,"Lost Customers"
"13865",58,"4","501.56",3,4,2,"Loyal Customers"
"13866",74,"1","145.67",3,2,1,"Promising"
"13867",31,"3","1005.09",4,3,4,"Loyal Customers"
"13868",7,"2","3192.54",5,3,5,"Loyal Customers"
"13869",123,"6","5375.94",2,5,5,"At Risk"
"13870",2,"9","3122.14",5,5,5,"Champions"
"13871",22,"14","6957.25",4,5,5,"Champions"
"13872",725,"1","252.12",1,1,1,"Lost Customers"
"13873",119,"4","511.25",2,4,3,"At Risk"
"13874",358,"1","540.45",1,1,3,"Lost Customers"
"13875",53,"7","2252.68",3,5,5,"Loyal Customers"
"13876",63,"1","122.70",3,1,1,"Promising"
"13877",86,"2","272.07",3,2,2,"Promising"
"13878",54,"1","1271.57",3,1,4,"Promising"
"13880",21,"13","3219.77",4,5,5,"Champions"
"13881",3,"21","17341.20",5,5,5,"Champions"
"13882",2,"5","1191.13",5,4,4,"Champions"
"13883",10,"6","2699.13",5,5,5,"Champions"
"13884",7,"7","1375.03",5,5,4,"Champions"
"13885",189,"2","506.80",2,3,2,"At Risk"
"13886",71,"1","243.56",3,1,1,"Promising"
"13887",204,"1","349.55",2,2,2,"Lost Customers"
"13888",119,"2","595.67",2,3,3,"At Risk"
"13889",92,"2","551.90",2,3,3,"At Risk"
"13890",1,"12","2410.74",5,5,5,"Champions"
"13891",378,"1","99.25",1,1,1,"Lost Customers"
"13892",26,"4","632.97",4,4,3,"Loyal Customers"
"13893",297,"1","821.10",1,1,3,"Lost Customers"
"13894",23,"3","564.62",4,3,3,"Loyal Customers"
"13895",28,"5","3424.07",4,4,5,"Champions"
"13897",50,"1","311.16",3,2,2,"Promising"
"13898",325,"1","155.93",1,1,1,"Lost Customers"
"13899",16,"2","388.52",4,3,2,"Loyal Customers"
"13900",183,"4","1027.67",2,4,4,"At Risk"
"13901",72,"7","3439.17",3,5,5,"Loyal Customers"
"13902",724,"1","429.66",1,1,2,"Lost Customers"
"13904",37,"2","332.64",4,3,2,"Loyal Customers"
"13905",732,"1","312.65",1,2,2,"Lost Customers"
"13907",691,"1","136.80",1,2,1,"Lost Customers"
"13908",79,"4","2369.55",3,4,5,"Loyal Customers"
"13911",57,"10","2846.50",3,5,5,"Loyal Customers"
"13914",11,"2","626.45",5,3,3,"Loyal Customers"
"13917",49,"2","272.04",3,2,2,"Promising"
"13918",49,"2","1212.84",3,3,4,"Loyal Customers"
"13919",59,"2","384.81",3,3,2,"Loyal Customers"
"13921",721,"1","102.75",1,1,1,"Lost Customers"
"13922",351,"1","172.25",1,1,1,"Lost Customers"
"13923",53,"1","351.13",3,2,2,"Promising"
"13924",1,"6","1838.85",5,4,4,"Champions"
"13925",92,"4","678.25",2,4,3,"At Risk"
"13926",23,"1","223.85",4,1,1,"New Customers"
"13927",74,"1","348.99",3,2,2,"Promising"
"13928",10,"4","464.57",5,4,2,"Loyal Customers"
"13929",169,"3","1022.35",2,3,4,"At Risk"
"13930",57,"2","337.34",3,3,2,"Loyal Customers"
"13931",95,"7","3166.87",2,5,5,"At Risk"
"13932",294,"1","307.40",1,2,2,"Lost Customers"
"13933",109,"2","608.79",2,3,3,"At Risk"
"13934",263,"1","922.10",1,2,3,"Lost Customers"
"13936",179,"2","531.48",2,3,3,"At Risk"
"13937",169,"1","158.85",2,1,1,"Lost Customers"
"13938",35,"1","71.66",4,1,1,"New Customers"
"13939",23,"3","568.55",4,3,3,"Loyal Customers"
"13940",17,"4","839.14",4,4,3,"Loyal Customers"
"13941",21,"6","5894.06",4,5,5,"Champions"
"13946",79,"5","1395.48",3,4,4,"Loyal Customers"
"13947",65,"1","90.60",3,1,1,"Promising"
"13948",360,"2","257.65",1,2,2,"Lost Customers"
"13949",2,"6","2427.32",5,4,5,"Champions"
"13950",11,"4","745.06",5,4,3,"Loyal Customers"
"13951",176,"3","674.45",2,3,3,"At Risk"
"13952",217,"4","5358.66",2,4,5,"At Risk"
"13953",7,"8","4015.68",5,5,5,"Champions"
"13954",1,"2","439.92",5,3,2,"Loyal Customers"
"13955",154,"3","544.07",2,3,3,"At Risk"
"13956",5,"5","1019.27",5,4,4,"Champions"
"13958",379,"3","1577.27",1,4,4,"At Risk"
"13959",79,"3","594.04",3,3,3,"Loyal Customers"
"13960",21,"2","230.22",4,2,1,"New Customers"
"13961",392,"1","538.40",1,1,3,"Lost Customers"
"13962",21,"2","169.55",4,2,1,"New Customers"
"13963",308,"5","1025.40",1,4,4,"At Risk"
"13964",387,"1","133.25",1,2,1,"Lost Customers"
"13965",703,"1","588.31",1,1,3,"Lost Customers"
"13967",145,"1","80.70",2,1,1,"Lost Customers"
"13969",7,"19","9534.42",5,5,5,"Champions"
"13970",386,"1","558.00",1,1,3,"Lost Customers"
"13971",18,"8","2758.26",4,5,5,"Champions"
"13972",70,"2","190.25",3,2,1,"Promising"
"13973",287,"1","264.70",1,2,2,"Lost Customers"
"13974",49,"1","413.59",3,1,2,"Promising"
"13975",31,"7","2837.47",4,5,5,"Champions"
"13976",206,"1","357.98",2,2,2,"Lost Customers"
"13978",14,"2","196.79",5,2,1,"New Customers"
"13979",73,"2","1073.65",3,2,4,"Promising"
"13980",60,"1","200.14",3,1,1,"Promising"
"13982",39,"4","1871.81",3,4,4,"Loyal Customers"
"13983",29,"14","3885.80",4,5,5,"Champions"
"13984",26,"8","1344.29",4,5,4,"Champions"
"13985",4,"17","7914.78",5,5,5,"Champions"
"13986",17,"1","320.46",4,2,2,"New Customers"
"13987",379,"1","305.08",1,2,2,"Lost Customers"
"13988",19,"7","4447.60",4,5,5,"Champions"
"13989",65,"2","1266.08",3,3,4,"Loyal Customers"
"13990",213,"1","311.30",2,2,2,"Lost Customers"
"13991",12,"6","852.88",5,5,3,"Loyal Customers"
"13992",30,"2","143.60",4,2,1,"New Customers"
"13993",42,"11","4347.56",3,5,5,"Loyal Customers"
"13994",3,"6","2274.14",5,4,5,"Champions"
"13995",15,"7","1924.69",5,5,4,"Champions"
"13996",386,"1","403.38",1,2,2,"Lost Customers"
"13999",10,"16","5225.61",5,5,5,"Champions"
"14000",211,"2","827.66",2,2,3,"Lost Customers"
"14001",45,"3","2043.08",3,4,4,"Loyal Customers"
"14002",134,"2","529.73",2,3,3,"At Risk"
"14003",732,"1","209.41",1,1,1,"Lost Customers"
"14004",43,"7","4582.64",3,5,5,"Loyal Customers"
"14005",9,"5","2874.72",5,4,5,"Champions"
"14006",115,"3","962.19",2,3,3,"At Risk"
"14009",198,"2","695.61",2,3,3,"At Risk"
"14012",277,"1","328.80",1,2,2,"Lost Customers"
"14013",110,"4","910.37",2,4,3,"At Risk"
"14014",77,"2","1671.55",3,3,4,"Loyal Customers"
"14015",52,"1","917.34",3,2,3,"Promising"
"14016",161,"5","5531.67",2,4,5,"At Risk"
"14019",46,"3","1421.61",3,4,4,"Loyal Customers"
"14020",16,"2","642.80",4,3,3,"Loyal Customers"
"14021",155,"4","714.07",2,4,3,"At Risk"
"14022",225,"1","440.00",2,1,2,"Lost Customers"
"14023",7,"2","584.07",5,3,3,"Loyal Customers"
"14024",121,"3","645.74",2,3,3,"At Risk"
"14027",60,"1","104.82",3,1,1,"Promising"
"14029",63,"2","467.66",3,3,2,"Loyal Customers"
"14030",18,"12","3629.18",4,5,5,"Champions"
"14031",7,"26","22487.77",5,5,5,"Champions"
"14032",2,"14","3939.30",5,5,5,"Champions"
"14034",22,"3","648.89",4,3,3,"Loyal Customers"
"14035",28,"5","1428.02",4,4,4,"Champions"
"14036",284,"1","626.65",1,1,3,"Lost Customers"
"14037",176,"3","365.53",2,3,2,"At Risk"
"14038",78,"3","1560.38",3,4,4,"Loyal Customers"
"14039",33,"1","152.20",4,1,1,"New Customers"
"14040",40,"15","4896.46",3,5,5,"Loyal Customers"
"14041",266,"1","141.41",1,2,1,"Lost Customers"
"14042",725,"1","431.98",1,1,2,"Lost Customers"
"14043",729,"1","164.31",1,1,1,"Lost Customers"
"14044",26,"4","646.42",4,4,3,"Loyal Customers"
"14045",109,"6","3442.95",2,5,5,"At Risk"
"14046",284,"1","154.99",1,1,1,"Lost Customers"
"14047",8,"5","1308.61",5,4,4,"Champions"
"14048",305,"3","748.69",1,3,3,"At Risk"
"14049",16,"7","6755.40",4,5,5,"Champions"
"14050",31,"2","746.36",4,2,3,"New Customers"
"14051",0,"28","17569.30",5,5,5,"Champions"
"14052",19,"2","466.66",4,3,2,"Loyal Customers"
"14053",124,"2","260.25",2,2,2,"Lost Customers"
"14054",65,"1","92.46",3,1,1,"Promising"
"14055",106,"2","999.96",2,2,4,"Lost Customers"
"14056",1,"23","8152.71",5,5,5,"Champions"
"14057",23,"19","6649.80",4,5,5,"Champions"
"14059",266,"1","183.60",1,1,1,"Lost Customers"
"14060",4,"21","6510.22",5,5,5,"Champions"
"14061",724,"2","553.43",1,3,3,"At Risk"
"14062",9,"16","14358.37",5,5,5,"Champions"
"14063",695,"6","8396.20",1,4,5,"At Risk"
"14064",29,"5","1334.34",4,4,4,"Champions"
"14065",389,"1","156.75",1,1,1,"Lost Customers"
"14066",266,"1","152.55",1,1,1,"Lost Customers"
"14067",63,"2","374.70",3,3,2,"Loyal Customers"
"14068",320,"1","265.85",1,2,2,"Lost Customers"
"14071",3,"8","1437.57",5,5,4,"Champions"
"14073",32,"1","151.04",4,2,1,"New Customers"
"14075",4,"3","942.26",5,3,3,"Loyal Customers"
"14076",129,"1","118.67",2,2,1,"Lost Customers"
"14077",40,"5","499.42",3,4,2,"Loyal Customers"
"14078",101,"6","1049.37",2,5,4,"At Risk"
"14079",124,"1","375.10",2,2,2,"Lost Customers"
"14080",32,"3","460.25",4,3,2,"Loyal Customers"
"14081",302,"4","2276.58",1,4,5,"At Risk"
"14082",364,"2","413.36",1,3,2,"At Risk"
"14083",4,"10","1067.07",5,5,4,"Champions"
"14085",2,"23","6690.44",5,5,5,"Champions"
"14087",2,"2","426.91",5,3,2,"Loyal Customers"
"14088",10,"13","50491.81",5,5,5,"Champions"
"14089",56,"1","158.75",3,1,1,"Promising"
"14090",324,"1","76.32",1,1,1,"Lost Customers"
"14091",698,"1","5520.00",1,1,5,"Lost Customers"
"14092",7,"17","4955.66",5,5,5,"Champions"
"14093",12,"1","433.86",5,1,2,"New Customers"
"14095",722,"1","2.95",1,1,1,"Lost Customers"
"14096",4,"17","65164.79",5,5,5,"Champions"
"14098",36,"1","147.35",4,2,1,"New Customers"
"14099",16,"14","3871.00",4,5,5,"Champions"
"14100",137,"1","191.95",2,1,1,"Lost Customers"
"14101",73,"7","6529.99",3,5,5,"Loyal Customers"
"14102",5,"5","1105.88",5,4,4,"Champions"
"14104",154,"3","372.83",2,3,2,"At Risk"
"14105",239,"2","1912.53",2,3,4,"At Risk"
"14106",737,"1","214.80",1,1,1,"Lost Customers"
"14107",51,"8","2866.49",3,5,5,"Loyal Customers"
"14108",30,"4","1044.96",4,4,4,"Champions"
"14109",72,"1","144.20",3,2,1,"Promising"
"14110",3,"14","6359.65",5,5,5,"Champions"
"14111",14,"4","692.85",5,4,3,"Loyal Customers"
"14112",22,"7","2915.15",4,5,5,"Champions"
"14113",3,"10","4229.27",5,5,5,"Champions"
"14114",273,"2","386.53",1,3,2,"At Risk"
"14116",19,"5","1382.74",4,4,4,"Champions"
"14117",143,"1","90.00",2,1,1,"Lost Customers"
"14119",375,"2","183.37",1,2,1,"Lost Customers"
"14121",3,"4","2780.15",5,4,5,"Champions"
"14122",728,"2","131.59",1,2,1,"Lost Customers"
"14123",733,"1","436.18",1,1,2,"Lost Customers"
"14124",84,"1","419.58",3,1,2,"Promising"
"14125",10,"3","2720.63",5,4,5,"Champions"
"14126",7,"3","706.13",5,3,3,"Loyal Customers"
"14127",122,"4","1044.73",2,4,4,"At Risk"
"14128",60,"2","637.50",3,3,3,"Loyal Customers"
"14129",1,"5","1123.86",5,4,4,"Champions"
"14130",319,"3","1154.92",1,3,4,"At Risk"
"14132",2,"11","3586.03",5,5,5,"Champions"
"14133",129,"4","911.14",2,4,3,"At Risk"
"14134",382,"4","3251.04",1,4,5,"At Risk"
"14135",1,"18","6328.56",5,5,5,"Champions"
"14136",693,"2","609.18",1,3,3,"At Risk"
"14137",695,"1","332.70",1,2,2,"Lost Customers"
"14138",1,"2","965.88",5,2,3,"New Customers"
"14139",46,"1","415.82",3,1,2,"Promising"
"14140",3,"2","935.05",5,2,3,"New Customers"
"14141",2,"4","915.13",5,4,3,"Loyal Customers"
"14142",373,"1","311.81",1,2,2,"Lost Customers"
"14143",133,"1","115.80",2,2,1,"Lost Customers"
"14145",46,"4","3742.20",3,4,5,"Loyal Customers"
"14146",8,"7","7086.22",5,5,5,"Champions"
"14147",78,"4","767.90",3,4,3,"Loyal Customers"
"14148",233,"1","157.20",2,1,1,"Lost Customers"
"14149",220,"1","446.62",2,1,2,"Lost Customers"
"14150",35,"2","658.64",4,3,3,"Loyal Customers"
"14151",716,"1","352.05",1,2,2,"Lost Customers"
"14152",75,"4","976.25",3,4,3,"Loyal Customers"
"14154",239,"5","3583.84",2,4,5,"At Risk"
"14155",266,"1","118.75",1,2,1,"Lost Customers"
"14156",9,"72","185267.87",5,5,5,"Champions"
"14157",19,"3","620.59",4,3,3,"Loyal Customers"
"14158",40,"1","507.66",3,1,3,"Promising"
"14159",19,"13","5383.41",4,5,5,"Champions"
"14160",698,"1","3654.38",1,2,5,"Lost Customers"
"14161",215,"4","1602.75",2,4,4,"At Risk"
"14162",173,"2","289.36",2,2,2,"Lost Customers"
"14163",87,"4","2445.91",3,4,5,"Loyal Customers"
"14164",70,"2","1631.77",3,3,4,"Loyal Customers"
"14165",275,"1","120.44",1,1,1,"Lost Customers"
"14167",39,"4","562.59",4,4,3,"Loyal Customers"
"14170",375,"2","421.31",1,3,2,"At Risk"
"14171",98,"2","498.79",2,3,2,"At Risk"
"14173",10,"5","474.44",5,4,2,"Loyal Customers"
"14174",33,"1","134.46",4,2,1,"New Customers"
"14175",59,"3","3222.30",3,4,5,"Loyal Customers"
"14176",297,"5","756.46",1,4,3,"At Risk"
"14177",86,"5","670.06",3,4,3,"Loyal Customers"
"14178",8,"7","1600.26",5,5,4,"Champions"
"14179",40,"2","701.57",3,3,3,"Loyal Customers"
"14180",10,"26","4984.52",5,5,5,"Champions"
"14184",66,"1","452.89",3,1,2,"Promising"
"14185",331,"1","197.65",1,1,1,"Lost Customers"
"14188",30,"6","2054.36",4,4,4,"Champions"
"14189",2,"16","5503.15",5,5,5,"Champions"
"14191",1,"14","4700.66",5,5,5,"Champions"
"14192",388,"1","293.74",1,2,2,"Lost Customers"
"14193",67,"2","853.39",3,2,3,"Promising"
"14194",4,"24","12551.92",5,5,5,"Champions"
"14195",201,"2","1012.00",2,2,4,"Lost Customers"
"14196",106,"1","335.52",2,2,2,"Lost Customers"
"14198",18,"5","836.65",4,4,3,"Loyal Customers"
"14199",218,"1","185.40",2,1,1,"Lost Customers"
"14201",60,"7","747.44",3,5,3,"Loyal Customers"
"14202",381,"1","514.55",1,1,3,"Lost Customers"
"14204",2,"2","521.88",5,3,3,"Loyal Customers"
"14205",16,"2","466.70",4,3,2,"Loyal Customers"
"14206",239,"2","642.56",2,3,3,"At Risk"
"14208",94,"1","151.74",2,2,1,"Lost Customers"
"14209",10,"7","2252.38",5,5,5,"Champions"
"14210",105,"7","2533.75",2,5,5,"At Risk"
"14211",53,"10","2428.90",3,5,5,"Loyal Customers"
"14212",89,"1","1070.48",3,2,4,"Promising"
"14214",30,"5","1004.38",4,4,4,"Champions"
"14215",11,"7","2215.31",5,5,5,"Champions"
"14216",3,"4","1839.30",5,4,4,"Champions"
"14217",1,"19","2181.18",5,5,5,"Champions"
"14218",42,"1","169.48",3,1,1,"Promising"
"14219",4,"1","89.94",5,1,1,"New Customers"
"14220",247,"2","632.40",2,3,3,"At Risk"
"14221",42,"9","3432.80",3,5,5,"Loyal Customers"
"14222",177,"1","683.17",2,1,3,"Lost Customers"
"14223",92,"3","991.13",2,3,4,"At Risk"
"14224",110,"5","1064.33",2,4,4,"At Risk"
"14225",696,"1","643.50",1,1,3,"Lost Customers"
"14226",28,"5","2214.79",4,4,5,"Champions"
"14227",26,"10","3350.96",4,5,5,"Champions"
"14229",51,"3","1547.20",3,4,4,"Loyal Customers"
"14231",183,"3","925.71",2,3,3,"At Risk"
"14232",42,"5","2048.07",3,4,4,"Loyal Customers"
"14233",49,"4","1462.72",3,4,4,"Loyal Customers"
"14234",22,"4","754.12",4,4,3,"Loyal Customers"
"14235",75,"5","3144.86",3,4,5,"Loyal Customers"
"14236",80,"2","490.86",3,3,2,"Loyal Customers"
"14237",373,"1","161.00",1,1,1,"Lost Customers"
"14238",326,"2","305.95",1,3,2,"At Risk"
"14239",43,"14","2855.55",3,5,5,"Loyal Customers"
"14240",30,"2","890.34",4,2,3,"New Customers"
"14241",183,"2","333.70",2,3,2,"At Risk"
"14242",234,"2","280.55",2,2,2,"Lost Customers"
"14243",8,"11","2905.02",5,5,5,"Champions"
"14245",219,"2","1693.45",2,3,4,"At Risk"
"14246",110,"3","1474.06",2,4,4,"At Risk"
"14247",278,"1","136.77",1,2,1,"Lost Customers"
"14248",318,"1","302.58",1,2,2,"Lost Customers"
"14250",7,"3","1904.05",5,4,4,"Champions"
"14251",1,"5","2879.70",5,4,5,"Champions"
"14252",381,"1","350.99",1,2,2,"Lost Customers"
"14256",260,"3","1909.36",1,4,4,"At Risk"
"14257",64,"6","3487.92",3,5,5,"Loyal Customers"
"14258",9,"11","16110.06",5,5,5,"Champions"
"14259",141,"1","120.00",2,1,1,"Lost Customers"
"14261",50,"2","1163.45",3,2,4,"Promising"
"14262",8,"8","2618.23",5,5,5,"Champions"
"14264",154,"3","666.82",2,3,3,"At Risk"
"14265",109,"2","530.18",2,3,3,"At Risk"
"14267",162,"3","1516.24",2,4,4,"At Risk"
"14270",331,"1","492.65",1,1,2,"Lost Customers"
"14271",225,"1","112.32",2,1,1,"Lost Customers"
"14272",73,"2","437.96",3,3,2,"Loyal Customers"
"14273",51,"4","559.97",3,4,3,"Loyal Customers"
"14276",98,"3","1119.74",2,3,4,"At Risk"
"14277",15,"5","4775.87",4,4,5,"Champions"
"14280",196,"1","134.04",2,2,1,"Lost Customers"
"14282",3,"18","4449.86",5,5,5,"Champions"
"14284",30,"2","595.25",4,3,3,"Loyal Customers"
"14285",21,"5","2061.21",4,4,4,"Champions"
"14286",23,"4","6239.27",4,4,5,"Champions"
"14287",8,"3","176.63",5,3,1,"Loyal Customers"
"14288",213,"1","426.60",2,1,2,"Lost Customers"
"14289",8,"6","911.26",5,5,3,"Loyal Customers"
"14290",11,"6","3185.28",5,5,5,"Champions"
"14291",1,"14","4788.39",5,5,5,"Champions"
"14292",7,"9","4871.93",5,5,5,"Champions"
"14293",3,"8","2578.11",5,5,5,"Champions"
"14295",40,"3","765.05",3,3,3,"Loyal Customers"
"14297",17,"4","1305.33",4,4,4,"Champions"
"14298",8,"48","56922.14",5,5,5,"Champions"
"14299",8,"13","8485.85",5,5,5,"Champions"
"14300",18,"1","43.20",4,2,1,"New Customers"
"14301",117,"1","640.14",2,1,3,"Lost Customers"
"14302",737,"1","114.60",1,1,1,"Lost Customers"
"14304",222,"2","1053.04",2,2,4,"Lost Customers"
"14305",71,"3","1858.96",3,4,4,"Loyal Customers"
"14306",51,"4","2698.12",3,4,5,"Loyal Customers"
"14307",88,"7","3237.82",3,5,5,"Loyal Customers"
"14309",8,"9","2352.53",5,5,5,"Champions"
"14311",242,"1","310.26",2,2,2,"Lost Customers"
"14312",46,"8","1949.31",3,5,4,"Loyal Customers"
"14314",106,"1","120.00",2,1,1,"Lost Customers"
"14315",44,"6","2481.13",3,4,5,"Loyal Customers"
"14317",64,"1","508.58",3,1,3,"Promising"
"14320",206,"2","477.79",2,3,2,"At Risk"
